,紧急程度,问题汇总,问题汇总_jieba,jieba,0
145,重要,P9A仪器打孔偶发性血斑板间错位E仪器不能连续选择板孔E仪器不能连续选择板孔,P9A 仪器 打孔 偶发性 血斑 板间 错位 E 仪器 不能 连续 选择 板孔 E 仪器 不能 连续 选择 板孔 ,P9A 仪器 打孔 偶发性 血斑 板间 错位 E 仪器 不能 连续 选择 板孔 E 仪器 不能 连续 选择 板孔 故障 处理 A 设备 判断 软件 控制 问题 重新 恢复 系统 安装 软件 安装 软件 前 需要 安装 运行 环境 安装 摄像头 驱动 安装 软件 重新 校准 参数 设置 打印 布板 图 测试 打孔 正常 E 设备 重装 软件 无效 判断 1.6 软件 版本 bug 暂 影响 使用 更新 1.7 软件 版本 重装 软件 无效 判断 1.6 软件 版本 bug 暂 影响 使用 更新 1.7 软件 版本 ,0.601743885189773
146,重要,GSP操纵器无法将微孔板送入检测模块装机过程中的testkit测试失败，操纵器无法将微孔板送入检测模块,GSP 操纵器 无法 微孔 板 送入 检测模块 装机 过程中 testkit 测试 失败 操纵器 无法 微孔 板 送入 检测模块 ,GSP 操纵器 无法 微孔 板 送入 检测模块 装机 过程中 testkit 测试 失败 操纵器 无法 微孔 板 送入 检测模块 service 中 执行 单独 检测 异常 重新 校准 操纵器 相关 校准 校准 参数 情况 差异 重新 开机 正常 启动 完成 执行 testkit 正常 完成 完成 装机 OQ 后续 事宜 ,0.685766973349032
147,重要,更换HVZ马达皮带hvz马达皮带磨损更换；更换hvz马达皮带；去血片头清洁和校准。,更换 HVZ 马达 皮带 hvz 马达 皮带 磨损 更换 更换 hvz 马达 皮带 血片头 清洁 校准 ,更换 HVZ 马达 皮带 hvz 马达 皮带 磨损 更换 更换 hvz 马达 皮带 血片头 清洁 校准 更换 hvz 马达 皮带 血片头 清洁 校准 ,0.5290590900052812
148,重要,1235产筛使用质控近期的CV超出了可接受范围质控CV较大,1235 产筛 使用 质控 近期 CV 超出 接受 范围 质控 CV 较大 ,1235 产筛 使用 质控 近期 CV 超出 接受 范围 质控 CV 较大 . 检查 仪器 枪 精密度 measure CV CV 0.4% 左右 . 加过 EU 板 洗板 之后 进行 检测 荧光值 均 200 左右 洗板 效果 正常 . 加样针 新 更换 准确度 精密度 正常 . 实验 时 发现 增强液 结冰 现象 检查 冰箱 温度 达标 底部 - 4.5 顶部 温度 9.3 度 试剂 一直 存放 冰箱 里面 . 底部 冻住 试剂 增强液 做 一次 实验 质控 不会 出控 增强液 应该 解冻 继续 使用 . 温度 高 试剂盒 做 质控 值比 冻住 质控 值高 一次 实验 无法 论证 . 后续 科室 会 使用 存放 正常 温度 冰箱 里面 试剂 做 一段时间 实验 观察 质控 CV 是否 ,0.5830418377284043
149,重要,制备洗液时报错洗液制备报错,制备 洗液 时报 错 洗液 制备 报错 ,制备 洗液 时报 错 洗液 制备 报错 查看 log 文件 发现 mix 瓶 wash 瓶内 泵 洗液 时 重量 没 发生变化 分析 log 认为 可能 mix 瓶下 压力 传感器 偶尔 不灵敏 结晶 拆开 部件 未 发现 压力 传感器 附近 结晶 脏物 对换 mix 瓶 浓缩 洗液 瓶下 称重 压力 传感器 后续 排查 1.4 KG 矿泉水瓶 校准 压力 传感器 重新 校准 零位 开机 洗板 测试 正常 故障 需 继续 跟踪 实验 老师 讲解 进行 季度维护 操作 下次 工程师 上门 ,0.7161605702842818
150,重要,1235旧仪器1297读码器扫样本管条码不识别1297扫样品管条码识别率低，1235实验结束后托盘有水滴。,1235 旧 仪器 1297 读码器 扫 样本 条码 识别 1297 扫 样品 条码 识别率 低 1235 实验 结束 托盘 水滴 ,1235 旧 仪器 1297 读码器 扫 样本 条码 识别 1297 扫 样品 条码 识别率 低 1235 实验 结束 托盘 水滴 处理 重新 校准 读码器 擦拭 镜子 本院 条码 识别率 低 问题解决 外院 送检 标本 一种 条码 旧 1235 识别 新 1235 仪器 识别 调整 读码器 位置 无法 解决 问题 新 1235 旧 1235 软件 设置 均 相同 唯一 区别 读码器 样品 条码 回 杭州 测试 水滴 问题 增强液 废液 槽 脏污 导致 清洁 干净 问题解决 ,0.5040201797971545
151,重要,客户反馈120客户端有电脑经常黑屏死机，需重新安装操作系统。120客户端有电脑经常黑屏死机,客户 反馈 120 客户端 电脑 经常 黑屏 死机 需 重新安装 操作系统 120 客户端 电脑 经常 黑屏 死机 ,客户 反馈 120 客户端 电脑 经常 黑屏 死机 需 重新安装 操作系统 120 客户端 电脑 经常 黑屏 死机 检查 发现 主机 启动 显示器 不亮 怀疑 显示器 问题 更换 显示器 数据线 没有 效果 更换 显卡 没有 效果 不亮 之后 重新 插拔 内存条 清洁 内存条 正常 电脑 启动 正常 ,0.7649923564715305
152,重要,1235电脑主机经常性、不定期蓝屏，已经处理很多次，需要彻底解决,1235 电脑主机 经常性 不定期 蓝屏 已经 处理 多次 需要 彻底解决 ,1235 电脑主机 经常性 不定期 蓝屏 已经 处理 多次 需要 彻底解决 . 查看 历史记录 发现 Isass . exe 无故 停止 伴随 安全 登录 报警 判断 问题 局域网 震荡波 病毒 导致 . 重新安装 操作系统 软件 微软 系统 补丁 . 后续 情况 跟踪 观察 ,0.7678016357505831
153,重要,新装机的KM1设备，发现拍摄的图片中有固定的黑点，应该是光路中有灰尘导致CCD上有较多黑点CCD上有较多黑点,新 装机 KM1 设备 发现 拍摄 图片 中有 固定 黑点 应该 光路 中 灰尘 导致 CCD 黑点 CCD 黑点 ,新 装机 KM1 设备 发现 拍摄 图片 中有 固定 黑点 应该 光路 中 灰尘 导致 CCD 黑点 CCD 黑点 . 清洁 CCD 清洁 恢复正常 . 对换 ccd 检查 仪器 原图 模糊 问题 对换 改善 . 检查 仪器 光 路 光路 异常 . 培训 客户 CV 软件 使用 ,0.48594177418170476
154,重要,更好gsplv注射器模块，解决rotateerror报错,更好 gsplv 注射器 模块 解决 rotateerror 报错 ,更好 gsplv 注射器 模块 解决 rotateerror 报错 更换 GSP lv 注射器 模块 重新 校正 dispensesyringehome 位置 做 机械 测试通过 prime 测试 正常 跟进 一次 实验 正常 ,0.736380174962245
155,重要,跟踪徕卡工程师进行KM1设备拍照清晰度的认定和调整细节KM1原图清晰度问题认定,跟踪 徕 卡 工程师 进行 KM1 设备 拍照 清晰度 认定 调整 细节 KM1 原图 清晰度 问题 认定 ,跟踪 徕 卡 工程师 进行 KM1 设备 拍照 清晰度 认定 调整 细节 KM1 原图 清晰度 问题 认定 . 跟随 徕 卡 工程师 上门 鉴定 仪器 是否 存在 问题 . 检查 认定 仪器 正常 原图 清晰度 只能 达到 . 老师 更好 接受 调整 拍摄 方式 . 讲解 捕获 分析 ,0.5457424702523835
156,重要,地贫多次出现无背景多次出现无背景多次出现无背景,地贫 多次 出现 背景 多次 出现 背景 多次 出现 背景 ,地贫 多次 出现 背景 多次 出现 背景 多次 出现 背景 查看 原始 曲线 电泳 速度 没有 跑 快 跑 慢 目前 仪器 激活 频率 比较 高 建议 更换 毛细管 提高 激活 频率 一周 激活 一次 每次 实验 前 激活 质控 平均 位置 改成 150 做 一次 毛细管 激活 跑 次 质控 正常 实验 正常 后续 跟踪 先 申请 毛细管 ,0.6717491800701887
157,重要,1、因标准品仓温控问题，更换标准品仓模块；2、Sm标检测计数值偏高，需校准；3、设备综合检查；,标准品仓 温控 问题 更换 标准品仓 模块 Sm 标 检测 计 数值 偏高 需 校准 设备 综合 检查 ,标准品仓 温控 问题 更换 标准品仓 模块 Sm 标 检测 计 数值 偏高 需 校准 设备 综合 检查 查看 装机 历史记录 更换 标准品仓 模块 校准 Sm 标计 数值 9.9 万 Eu 标计 数值 102 万 符合要求 对齐 加样针 校准 加样针 标准品 微孔 板 冲洗 槽 坐标 校准 lift 检测 单元 坐标 执行 liftmove 测试 润滑 注射器 泵 异响 消失 调整 加样枪 Y 方向 皮带 松紧度 检查 tipsensor 检查 加样枪 试剂仓 坐标 清洁 血片头 重新 校准 血片头 坐标 执行 洗板 测试 10 跟踪 一次 实验 仪器 工作 正常 ,0.598839596945623
158,重要,120拍片图像靠右120拍出来的图像核型靠右,120 拍片 图像 靠右 120 拍 图像 核型 靠右 ,120 拍片 图像 靠右 120 拍 图像 核型 靠右 重新 调整 传感器 位置 扫片 测试 正常 仪器 测试 正常 需 观察 后续 实验 情况 之后 偶尔 出现 靠右 情况 需 再次 上门 维修 ,0.5025879006190067
159,重要,H仪器近期响应下降，张银燕清洗离子源两遍，均不能解决响应不可持续的问题，需清洗四级杆和碰撞池,H 仪器 近期 响应 下降 张 银燕 清洗 离子源 两遍 均 不能 解决 响应 不可 持续 问题 需 清洗 四级 杆 碰撞 池 ,"H 仪器 近期 响应 下降 张 银燕 清洗 离子源 两遍 均 不能 解决 响应 不可 持续 问题 需 清洗 四级 杆 碰撞 池 . 清洗 四级 杆 碰撞 池 更换 泵油 . 打磨 锥孔 测试 复溶板 响应 4e6 , 基本 维持 . 负离子 扫描 跑 30min 互换 H T 锥孔 H 响应 升高 8e6 维持 1.12 . 22 上门 清洗 四级 杆及 碰撞 池 内部 黑斑 较大 更换 泵油 . 周一 （ 12.25 ） 进 PEG 检查 发现 质量数 分辨率 均 良好 不需 调谐 （ 刚刚 更换 电脑 做 质谱 调谐 ） . 富集 样本 测试 发现 第一 针 样本 均 后面 样本 响应 高 响应 不能 持续 总体 响应 基本 维持 4e6 不再 下降 . 调节 离子 能量 二级 锥孔 电压 打磨 取样 锥孔 气体 锥孔 超声 清洗 后装 回 测试 效果 响应 依旧 维持 - 5e6 取 E 仪器 锥孔 测试 依旧 效果 第一 针会 后面 几针 响应 高 整体 响应 会略 高 一点 5e6 换回 原锥孔 负离子 模式 上机 测试 两款 复溶板 过夜 . 准备 重新 清洗 打磨 离子源 透镜 张 银燕 周二 测试 新板 响应 维持 - 7e6 当天 上机 块板 第一 板 响应 基本 - 最后 一板 响应 基本 - 响应 轻微 下降 . 周五 张 银燕 跑 30min 中 负离子 扫描 T 仪器 锥 孔换 H H 响应 可到 8e6 整板 响应 基本 维持 T 仪器 响应 处于 正常 状态 ",0.6593539169492425
160,重要,客户要求进行TQD清洗维护XevoTQD和I-Class需要通过另一台电脑建立通讯连接此台XevoTQD需要和IClass建立通讯（通过另一台电脑建立）TQD进行清洗维护，XevoTQD和I-Class通过新的主机建立通讯,客户 要求 进行 TQD 清洗 维护 XevoTQD I - Class 需要 另一台 电脑 建立 通讯 连接 此台 XevoTQD 需要 IClass 建立 通讯 （ 另一台 电脑 建立 ） TQD 进行 清洗 维护 XevoTQD I - Class 新 主机 建立 通讯 ,客户 要求 进行 TQD 清洗 维护 XevoTQD I - Class 需要 另一台 电脑 建立 通讯 连接 此台 XevoTQD 需要 IClass 建立 通讯 （ 另一台 电脑 建立 ） TQD 进行 清洗 维护 XevoTQD I - Class 新 主机 建立 通讯 . TQD 清洗 碰撞 池 四级 杆 离子源 透镜 隔夜 抽 真空 进行 质谱 调谐 复溶板 上机 测试 响应 1e7 检测 指标 重现 性 良好 . XevoTQD 联想 ThinkcentreM4500T 装 Win764 英文 专业版 系统 安装 MassLynxSCN918 建立 BSM FTN PDA XevoTQD 连接 通讯 正常 . 周二 上午 TQD 内部 较脏 吹 扫 拆出 四级 杆 组件 两遍 甲醇 清洗 碰撞 池 擦拭 四级 杆 . 甲酸 擦拭 离子源 二级 锥孔 一级 锥孔 超声 清洗 砂纸 打磨 六级 杆 透镜 金属板 孔位 （ 金属 烧斑 ） 超声 清洗 更换 泵油 过夜 抽 真空 . 次日 进 PEG Engineer 界面 调整 MS1 MS2 参数 发现 896 补丁 未装 （ 影响 Intellistart ） 补丁 进行 自动调谐 测试 复溶板 样本 响应 1e74 . 另一台 电脑 重装系统 安装 相应 驱动 安装 Masslynx918 ICS 相关驱动 设备 软件 建立 IClass - XevoTQD 连接 通讯 正常 . 重置 Xevo 相连 氮气 发生器 ServerDueTime 找到 一颗 新 螺丝 替换 安装 XevoTQDProbe 上方 断掉 螺丝 TQD 2777 皮筋 松动 减掉 一段 ,0.5860935433918787
161,重要,gsphv无法卸载枪头hv空载时无法卸载枪头,gsphv 无法 卸载 枪头 hv 空载 时 无法 卸载 枪头 ,gsphv 无法 卸载 枪头 hv 空载 时 无法 卸载 枪头 查看 log hv 取 吸头 时 压力 变化 异常 吸头 误认为 防蒸发帽 卸载 吸头 仍然 认为 枪头 吸头 洗板 测试 频发 性 失败 原因 液面 探测 值过 高 > 110003 更换 hv 压力 传感器 shuffle 测试 仍然 失败 更换 整个 HV 枪 位置 校准 shuffle 测试 正常 跟踪 实验 正常 ,0.636245715842747
162,重要,120拍片位置偏向一侧120拍片核型靠右,120 拍片 位置 偏向 一侧 120 拍片 核型 靠右 ,120 拍片 位置 偏向 一侧 120 拍片 核型 靠右 重新 拆 清洁 物镜 转盘 重新装配 校准 显微镜 位置 连续 大量 扫片 测试 正常 仪器 测试 正常 需 观察 后续 实验 情况 ,0.45898329268514765
163,重要,TSH实验质控cv过大1235D仪器TSH实验质控偏差大，左枪枪头清洁时塞了棉絮，检查仪器。,TSH 实验 质控 cv 过大 1235 D 仪器 TSH 实验 质控 偏差 左枪 枪头 清洁 时塞 棉絮 检查 仪器 ,TSH 实验 质控 cv 过大 1235 D 仪器 TSH 实验 质控 偏差 左枪 枪头 清洁 时塞 棉絮 检查 仪器 清洁 枪头 对换 左右 枪 右枪 Y 方向 皮带 步进 误差 过大 调整 皮带 清洁 润滑 问题解决 枪换 之前 右枪 加 EU 标 发现 CV 值 偏大 对换 发现 可能 板条 污染 血片头 Z 方向 运动 涩 清洁 润滑 问题解决 清洁 洗板 头 清洁 增强液 枪头 检测 加的量 没有 问题 清洁 检测模块 没有 异常 做 实验 观察 怀疑 质控 偏大是 方面 原因 ,0.5799522034621809
164,重要,P9A仪器多次报打孔头错误的报错，实验员自行维护打孔头无效。,P9A 仪器 多次 报 打孔 头 错误 报错 实验员 自行 维护 打孔 头 无效 ,P9A 仪器 多次 报 打孔 头 错误 报错 实验员 自行 维护 打孔 头 无效 现场 标准 操作 维护 打孔 头 装上 测试 打孔 报错 实验员 维护 到位 原因 没有 仔细 清洁 打孔 头 触点 打孔 头 血斑 探测器 表面 指导 实验员 维护 正确 操作方法 现场 标准 操作 维护 打孔 头 装上 测试 打孔 报错 实验员 维护 到位 原因 没有 仔细 清洁 打孔 头 触点 打孔 头 血斑 探测器 表面 指导 客户 正确 操作方法 防止 问题 继续 发生 检查 1235 B 设备 发现 近期 历史记录 真空 错误 问题 观察 真空泵 工作 时间 间隔 短 检查 漏气 情况 发现 POOL 电磁阀 号 负压泵 漏气 清洁 负压泵 发现 负压泵 内部 隔膜 非常 脏 需要 清洁 没有 时间 问题 暂时 部 影响 实验 第二天 处理 ,0.7069775046390671
165,重要,P9门传感器故障导致加载板延时,P9 门 传感器 故障 导致 加载 板 延时 ,P9 门 传感器 故障 导致 加载 板 延时 判断 系统 软件 问题 重装 无效 检查 发现 门 传感器 感应 问题 调整 传感器 flag 位置 解决 测试 进板 正常 ,0.6699280602364085
166,重要,架子上的玻片卡扣掉落,架子 玻片 卡扣 掉落 ,架子 玻片 卡扣 掉落 架子 螺丝 拆 调节 问题 金属 弹片 长度 测试 正常 ,0.4935930113537406
167,重要,1235B设备近期有较多真空报错，检查负压管路发现1号负压泵和POOL电磁阀漏气近期实验有较多真空错误，检查负压管路发现1号负压泵和POOL电磁阀漏气。负压泵内部有较多污物。1、1235B仪器负压漏气，经检查负压泵内部很脏，pool电磁阀漏气；为保证其它设备运行状态，检查所有1235设备负压。2、为排查近期实验质控不稳定问题，做加样枪准确度测试,1235 B 设备 近期 真空 报错 检查 负压 管路 发现 号 负压泵 POOL 电磁阀 漏气 近期 实验 真空 错误 检查 负压 管路 发现 号 负压泵 POOL 电磁阀 漏气 负压泵 内部 污物 1235 B 仪器 负压 漏气 检查 负压泵 内部 很脏 pool 电磁阀 漏气 保证 设备 运行 状态 检查 1235 设备 负压 排查 近期 实验 质控 稳定 问题 做 加样枪 准确度 测试 ,1235 B 设备 近期 真空 报错 检查 负压 管路 发现 号 负压泵 POOL 电磁阀 漏气 近期 实验 真空 错误 检查 负压 管路 发现 号 负压泵 POOL 电磁阀 漏气 负压泵 内部 污物 1235 B 仪器 负压 漏气 检查 负压泵 内部 很脏 pool 电磁阀 漏气 保证 设备 运行 状态 检查 1235 设备 负压 排查 近期 实验 质控 稳定 问题 做 加样枪 准确度 测试 1235 B 设备 深度 清洁 三个 负压泵 内部 密封 片 隔膜 检查 电磁阀 接口处 松动 导致 漏气 重新 缠绕 生料 带 连接 接口 漏气 问题解决 排查 近期 实验 质控 稳定 问题 做 加样枪 准确度 测试 测试 左枪 50.52 右枪 50.28 正常 ,0.589094411518267
168,重要,1235inout键故障+维护,1235 inout 键 故障 + 维护 ,1235 inout 键 故障 + 维护 inout 键 按键 异常 排查 node5M2 驱动 芯片 故障 N5 N22 对换 解决 设备 电脑 卡顿 卸载 软件 电脑 杀毒 重装 软件 季度维护 flash 过高 1350 定标 液 检测值 过高 Eu118 万 校准 flash1115 countsEu102 万 Sm10.1 万 inout 键 按键 异常 排查 node5M2 驱动 芯片 故障 N5 N22 对换 解决 设备 电脑 卡顿 卸载 软件 电脑 杀毒 重装 软件 进行 维护 flash 过高 1350 定标 液 检测值 过高 118 万 校准 flash1115 counts102 万 ,0.4475785867899394
169,重要,电梯Z向马达编码器故障电梯Z向马达编码器误差过大,电梯 Z 马达 编码器 故障 电梯 Z 马达 编码器 误差 过大 ,电梯 Z 马达 编码器 故障 电梯 Z 马达 编码器 误差 过大 进行 机械 测试 步进 误差 过大 调整 长 皮带 误差 控制 ± 50 以内 机械 测试 发现 运动 一点 异响 明显 调整 主轴 滑杆 角度 解决 检查 Z 马达 编码 盘 松动 粘合 重新安装 进行 shuffle 测试 编码器 误差 过大 30 左右 对换 node 板 误差 没有 变化 反复 调整 短 皮带 误差 降低 以内 三个 项目 上机 跟踪 36 板 实验 仪器 工作 正常 误差 最大值 ,0.5649083447735295
170,重要,由于检查到1235B设备负压泵内部较脏，需要检查其它两台设备负压管路情况负压管路检查负压管路检查,检查 1235 B 设备 负压泵 内部 较脏 需要 检查 两台 设备 负压 管路 情况 负压 管路 检查 负压 管路 检查 ,检查 1235 B 设备 负压泵 内部 较脏 需要 检查 两台 设备 负压 管路 情况 负压 管路 检查 负压 管路 检查 D 仪器 . 检查 负压泵 内部 正常 检查 负压 管路 气密性 正常 . 排查 近期 实验 质控 稳定 问题 做 加样 精度 测试 左枪 50.40 右枪 50.25 均 正常 C 仪器 . 排查 发现 管路 漏气 . 发现 号泵 漏气 检查 发现 内部 存有 少量 污渍 清洁 正常 . pool 电磁阀 接口 漏气 缠绕 生 胶带 连接 端口 轻微 漏气 . 再次 检查 发现 电磁阀 可能 存在 问题 可能 需要 更换 电磁阀 . 排查 发现 管路 漏气 . 发现 号泵 漏气 检查 发现 内部 存有 少量 污渍 清洁 正常 . pool 电磁阀 接口 漏气 缠绕 生 胶带 连接 端口 轻微 漏气 . 再次 检查 发现 电磁阀 可能 存在 问题 可能 需要 更换 电磁阀 ,0.5809897933955415
171,重要,由于检查到1235B设备负压泵内部较脏，需要检查其它两台设备负压管路情况负压管路检查负压管路检查,检查 1235 B 设备 负压泵 内部 较脏 需要 检查 两台 设备 负压 管路 情况 负压 管路 检查 负压 管路 检查 ,检查 1235 B 设备 负压泵 内部 较脏 需要 检查 两台 设备 负压 管路 情况 负压 管路 检查 负压 管路 检查 D 仪器 . 检查 负压泵 内部 正常 检查 负压 管路 气密性 正常 . 排查 近期 实验 质控 稳定 问题 做 加样 精度 测试 左枪 50.40 右枪 50.25 均 正常 C 仪器 . 排查 发现 管路 漏气 . 发现 号泵 漏气 检查 发现 内部 存有 少量 污渍 清洁 正常 . pool 电磁阀 接口 漏气 缠绕 生 胶带 连接 端口 轻微 漏气 . 再次 检查 发现 电磁阀 可能 存在 问题 可能 需要 更换 电磁阀 . 检查 负压泵 内部 正常 检查 负压 管路 气密性 正常 . 排查 近期 实验 质控 稳定 问题 做 加样 精度 测试 左枪 50.40 右枪 50.25 均 正常 ,0.6140238092948551
172,重要,DX设备笔仓转动卡住报错疑似再次出现通信问题执行年度维护1.笔仓运动步进误差大；2.年度维护；3.通讯故障；1.笔仓运动步进误差大；2.年度维护；3.通讯故障；,DX 设备 笔仓 转动 卡住 报错 疑似 再次出现 通信 问题 执行 年度维护 . 笔仓 运动 步进 误差 . 年度维护 . 通讯 故障 . 笔仓 运动 步进 误差 . 年度维护 . 通讯 故障 ,DX 设备 笔仓 转动 卡住 报错 疑似 再次出现 通信 问题 执行 年度维护 . 笔仓 运动 步进 误差 . 年度维护 . 通讯 故障 . 笔仓 运动 步进 误差 . 年度维护 . 通讯 故障 . 清洁 仪器 内部 风扇 除灰 . 检查 笔仓 电机 油 润滑 . 进入 service 运行 测试 测试 笔仓 步进 误差 正常 测试 小时 均 小于 . 检查 历史记录 . 发现 偶尔 有报 clot 检查 加样针 发现 加样针 上面 细微 样本 结晶 . 酒精 擦拭 加样针 结晶 清洁 干净 . 运行 加样针 液面 探测 测试 探测 50 次 正常 . 重新 校准 笔仓 plunger 坐标 （ 排除 plunger 杯子 打太 下去 导致 一个 杯子 可能 卡主 造成 步进 误差 ） . 维护 完成 进入 workstation 运行 一次 实验 30 样本 均 正常 10 . 第二天 运行 30 样本 中有 误报 clot 11 . 更换 加样针 （ 苏大 附一 换下 ） 12 . 重新 校准 坐标 消毒 润 洗 加样针 13 . 完成 一次 实验 实验 正常 14 . 通讯 问题 目前 两种 猜测 一种 仪器 异常 休眠 引起 一种 某一 硬件 bug 导致 仪器 停止 国外 工程师 协助 排查 ,0.6948315566748298
173,重要,A仪器（TQD）响应下降至4-6e6，波动大，且质控cv近期升高。需要验证仪器性能并提升响应。,A 仪器 （ TQD ） 响应 下降 - 6e6 波动 质控 cv 近期 升高 需要 验证 仪器 性能 提升 响应 ,A 仪器 （ TQD ） 响应 下降 - 6e6 波动 质控 cv 近期 升高 需要 验证 仪器 性能 提升 响应 处理 流程 . 质量数 半峰 宽 确认 升温 进 peg 采集 半峰 宽 0.55 左右 太窄 认为 调试 能够 解决问题 . 调试 前 TIC 确认 富集 孔进样 - 针 降低 稳定 5e6 4e6 . 调试 前 一致性 确认 3.1 质控 复溶 测试 一致性 差 3.2 样本 复溶 测试 一致性 佳 . 仪器 调试 peg 内标 调试 仪器 使半峰 宽 增加 0.65 左右 生成 新 ipr cal exp 文件 . 调试 TIC 确认 调用 新 文件 富集 孔进样 强度 - 针 降低 稳定 最终 强度 提升 最终 4.5 e6 左右 . 调试 TIC 优化 6.1 离子 模式 改变 负离子 模式 强度 - 针 降低 稳定 强度 决定 采用 负离子 模式 6.2 毛细管 调整 伸出 长度 喷雾 角度 重装 毛细管 无效 6.3 ipr 参数 改变 毛细管 电压 extractor rflens ie1 ie2 发现 毛细管 电压 3.5 kv → 3.7 kv rflens0.1 → 时 复溶 强度 进一步 提升 5e6 左右 . 调试 一致性 确认 样本 复溶 测试 一致性 佳 . 正式 样本 测试 响应 提升 - 7e6 质控 cv 恢复 综上 仪器 响应 cv 恢复正常 添加 泵油 ,0.541997831171043
174,无要求,孵育器运行，震动声音略大。,孵育器 运行 震动 声音 略大 ,孵育器 运行 震动 声音 略大 得到 消息 留意 一下 宿迁 1235 孵育器 震动 声响 差别 明显 处理 一下 丝杠 确实 会 减少 震动 声音 这台 1235 后面 一个 Peltier 散热 风扇 声音 略大 上次 维护保养 拆开 检查 出风 目前 正常 ,0.7459273544721703
175,无要求,1420电脑死机，之前与销售沟通后更换电脑，本次上门进行更换1420工作站主机电脑开机卡死。,1420 电脑 死机 之前 销售 沟通 更换 电脑 本次 上门 进行 更换 1420 工作站 主机 电脑 开机 卡死 ,1420 电脑 死机 之前 销售 沟通 更换 电脑 本次 上门 进行 更换 1420 工作站 主机 电脑 开机 卡死 1420 工作站 主机 开机 死机 清洁 电脑 内部 拔 插 内存条 短暂 恢复 故障 依旧 360 查杀 未 发现 病毒 主机 年代久远 硬件 稳定 更换 主机 电脑 安装 系统 1420 软件 恢复 备份 Eu 标 测试 正常 新 主机 电脑 型号 联想 扬天 M6201c - 01 规格 1361004G1TG - 10 （ B ） ,0.7377181589240669
176,重要,近两周又连续发生两次去吸头过程中的up-downmoversteppingerror,近 两周 连续 发生 两次 吸头 过程中 up - downmoversteppingerror ,近 两周 连续 发生 两次 吸头 过程中 up - downmoversteppingerror 两次 故障 发生 右枪 检查 托盘 右枪 洗头 处 观察 橡胶圈 戳破 痕迹 判断 吸头 戳 橡胶圈 导致 报错 橡胶圈 应 重新 固定 绊 吸头 但应 之前 固定 较为 牢固 去除 橡胶圈 上会 绊 吸头 部分 测试 仪器 吸头 过程 工作 正常 跟踪 一次 实验 仪器 工作 正常 ,0.6834244851190667
177,重要,17羟实验报错updownmovererror，换托盘无效，需明确原因并排除故障1235加样枪在退吸头过程中报&quot;up-downmoversteppingerror&quot;，该问题已重复发生多次，更换过托盘，仍然频繁。,17 羟 实验 报错 updownmovererror 换 托盘 无效 需 明确 原因 排除故障 1235 加样枪 退 吸头 过程中 报 & quot ; up - downmoversteppingerror & quot ; 问题 重复 发生 多次 更换 托盘 仍然 频繁 ,17 羟 实验 报错 updownmovererror 换 托盘 无效 需 明确 原因 排除故障 1235 加样枪 退 吸头 过程中 报 & quot ; up - downmoversteppingerror & quot ; 问题 重复 发生 多次 更换 托盘 仍然 频繁 检查 托盘 里 废 吸头 异常 存在 戳 吸头 这种 偶然 情况 检查 logfile 发现 一直 设备 退 吸头 时 压力 值 变化 正常 怀疑 存在 SDBE68 描述 情况 核对 E68 详情 现象 序列号 皆 符合 明确 加样枪 工艺 问题 造成 故障 已经 出 保修期 使用 切除 部分 加样枪 办法 进行 修复 测试 跟踪 一次 实验 仪器 工作 正常 ,0.637337732568915
178,无要求,近3批实验结果，每次都出现1个UE3质控无结果1.加样针坐标有偏差，4跟加样针间距大小不同；2.质控保底量过低；,近 批 实验 每次 出现 UE3 质控 . 加样针 坐标 偏差 加样针 间距 大小 不同 . 质控 保底 量 低 ,近 批 实验 每次 出现 UE3 质控 . 加样针 坐标 偏差 加样针 间距 大小 不同 . 质控 保底 量 低 . 检查 历史记录 次 UE3 最后 一板 没 质控 均 报 质控 管内 液体 （ 触底 报错 ） 两次 块板 一次 块板 . 检查 加样针 发现 加样针 间距 大小 一致 . 重新 调整 加样针 间隔 重新 校准 坐标 . 运行 仪器 加样针 洗板机 消毒 . 每管 质控 分装 300ml 量 做 块板 足够 做 块板 保底 量 过少 容易 触底 . 每次 实验 保底 量 80ml 进行 液面 探测 测试 偶尔 会 触底 液面 量 达到 125 未 出现 触底 报错 . 每次 质控 保底 量 最好 保持 100ml . 隔天 观察 一批 实验 确保 质控 保底 量 100ml 未 出现 触底 报错 ,0.7395344029150951
179,无要求,电脑未安装杀毒软件和开启系统防御，并连接外网。导致电脑中勒索病毒分析电脑需要重装系统,电脑 未 安装 杀毒软件 开启 系统 防御 连接 外 网 导致 电脑 中 勒索 病毒 分析 电脑 需要 重装系统 ,电脑 未 安装 杀毒软件 开启 系统 防御 连接 外 网 导致 电脑 中 勒索 病毒 分析 电脑 需要 重装系统 . 电脑 中 勒索 病毒 医院 信息 科 要求 需要 格式化 硬盘 重装系统 . 王晶 老师 沟通 同意 格式化 硬盘 清空 数据 重新安装 系统 . 格式化 电脑 硬盘 重装 win764 位 英文版 系统 安装 杀毒软件 . 后续 软件 技术 工程师 进行 安装 后续 电脑 是否 接入 医院 网络 信息 科 决定 ,0.682697257924684
